,,1,2,3,4,5,6,7,8,9,10
2024-03-27,KIA,0.1555697823,0.1357234315,0.1235595391,0.1113956466,0.0973111396,0.0909090909,0.0864276569,0.0736235595,0.076184379,0.0492957746
2024-03-27,롯데,0.0723431498,0.0723431498,0.0800256082,0.0793854033,0.104993598,0.0973111396,0.1126760563,0.1043533931,0.1459667093,0.1306017926
2024-03-27,삼성,0.1235595391,0.0960307298,0.109475032,0.1075544174,0.0960307298,0.1107554417,0.1069142125,0.085787452,0.0825864277,0.0813060179
2024-03-27,한화,0.1293213828,0.1229193342,0.1171574904,0.1075544174,0.1062740077,0.0973111396,0.0909090909,0.0915492958,0.0710627401,0.0659411012
2024-03-27,키움,0.0627400768,0.0793854033,0.0928297055,0.095390525,0.0883482714,0.1056338028,0.1043533931,0.1184379001,0.1177976953,0.1350832266
2024-03-28,LG,0.1152368758,0.1229193342,0.104993598,0.1165172855,0.0921895006,0.085787452,0.1145966709,0.095390525,0.0787451985,0.0736235595
2024-03-28,KT,0.0653008963,0.0781049936,0.0921895006,0.0947503201,0.0947503201,0.1120358515,0.1037131882,0.1005121639,0.1350832266,0.1235595391
2024-03-28,SSG,0.1120358515,0.0889884763,0.0973111396,0.0947503201,0.090268886,0.1145966709,0.1017925736,0.0985915493,0.104993598,0.0966709347
2024-03-28,NC,0.1376440461,0.1120358515,0.1145966709,0.1306017926,0.1024327785,0.0889884763,0.0870678617,0.0832266325,0.0768245839,0.066581306
2024-03-28,두산,0.1216389245,0.1267605634,0.1011523688,0.1005121639,0.1107554417,0.0973111396,0.0960307298,0.0851472471,0.0845070423,0.076184379
2024-03-28,KIA,0.1638924456,0.138284251,0.1152368758,0.1075544174,0.1024327785,0.0787451985,0.0883482714,0.0781049936,0.0704225352,0.056978233
2024-03-28,롯데,0.0588988476,0.0653008963,0.0870678617,0.0941101152,0.1120358515,0.1081946223,0.1011523688,0.1145966709,0.1241997439,0.1344430218
2024-03-28,삼성,0.0985915493,0.0896286812,0.1126760563,0.1133162612,0.0928297055,0.1017925736,0.0877080666,0.1126760563,0.0832266325,0.1075544174
2024-03-28,한화,0.1414852753,0.1446862996,0.133162612,0.1024327785,0.1024327785,0.0928297055,0.0672215109,0.0755441741,0.0793854033,0.0608194622
2024-03-28,키움,0.0659411012,0.0723431498,0.0774647887,0.0870678617,0.0934699104,0.1145966709,0.1216389245,0.1216389245,0.1280409731,0.1177976953
2024-03-29,LG,0.1363636364,0.1254801536,0.1107554417,0.1081946223,0.1043533931,0.0979513444,0.0915492958,0.0813060179,0.076184379,0.0678617157
2024-03-29,KT,0.0537772087,0.0601792574,0.095390525,0.0864276569,0.0845070423,0.1024327785,0.109475032,0.1299615877,0.1299615877,0.1478873239
2024-03-29,SSG,0.1043533931,0.1152368758,0.1069142125,0.1088348271,0.1126760563,0.104993598,0.0941101152,0.1030729834,0.0825864277,0.0672215109
2024-03-29,NC,0.1184379001,0.1088348271,0.1241997439,0.1030729834,0.0947503201,0.0985915493,0.1011523688,0.0774647887,0.0921895006,0.0813060179
2024-03-29,두산,0.0877080666,0.109475032,0.1107554417,0.1171574904,0.0973111396,0.1030729834,0.099871959,0.1024327785,0.085787452,0.0864276569
2024-03-29,KIA,0.1638924456,0.1504481434,0.1293213828,0.109475032,0.1056338028,0.0864276569,0.0845070423,0.0685019206,0.0640204866,0.0377720871
2024-03-29,롯데,0.0685019206,0.0813060179,0.0774647887,0.0870678617,0.0992317542,0.104993598,0.1037131882,0.1203585147,0.1165172855,0.1408450704
2024-03-29,삼성,0.0915492958,0.0889884763,0.0966709347,0.0985915493,0.1081946223,0.1024327785,0.0883482714,0.1145966709,0.1088348271,0.1017925736
2024-03-29,한화,0.1927016645,0.1357234315,0.1216389245,0.1017925736,0.1024327785,0.0966709347,0.0813060179,0.0691421255,0.0588988476,0.0396927017
2024-03-29,키움,0.062099872,0.0627400768,0.0742637644,0.0947503201,0.085787452,0.1062740077,0.1274007682,0.1158770807,0.119078105,0.1517285531
2024-03-30,LG,0.1191981434,0.1203185019,0.1144366197,0.1085547375,0.1062339949,0.0978713188,0.0943501921,0.0900288092,0.0793053777,0.0697023047
2024-03-30,KT,0.0502560819,0.0629401408,0.0714228553,0.0840669014,0.0946702945,0.1008322663,0.1144766325,0.1246798976,0.136643726,0.1600112036
2024-03-30,SSG,0.1165973111,0.1195982714,0.1095950704,0.1058338668,0.1028329065,0.1040733035,0.0932298335,0.0921895006,0.0828665173,0.0731834187
2024-03-30,NC,0.1354033291,0.121318822,0.1171574904,0.113356274,0.1063140205,0.0949103713,0.0897487196,0.0829465429,0.0780649808,0.0607794494
2024-03-30,두산,0.1153569142,0.1147167093,0.1131161972,0.1079145327,0.1020726633,0.1023527529,0.0964308579,0.0919894366,0.083546735,0.072503201
2024-03-30,KIA,0.1538492318,0.129081306,0.1222791293,0.1091149168,0.1025928297,0.0964308579,0.088028169,0.0789452625,0.068421895,0.051256402
2024-03-30,롯데,0.0584987196,0.0697023047,0.0799855954,0.0884683099,0.0960307298,0.1058738796,0.1104353393,0.1169974392,0.1316421255,0.142365557
2024-03-30,삼성,0.0724231754,0.0822263124,0.0869078105,0.0958706786,0.0986315621,0.1050736236,0.1073543534,0.1114356594,0.118878041,0.1211987836
2024-03-30,한화,0.189940781,0.1529289373,0.1287211908,0.113356274,0.0981914213,0.0858274648,0.0738636364,0.0629401408,0.0520566581,0.0421734955
2024-03-30,키움,0.0690620999,0.079665493,0.084146927,0.0944702305,0.0953505122,0.1048335467,0.1070742638,0.111515685,0.1240797055,0.1298015365
2024-03-31,LG,0.1043934059,0.1089948784,0.1070742638,0.1084346991,0.1071542894,0.1036331626,0.09803137,0.0977112676,0.0885883483,0.075984315
2024-03-31,KT,0.0396927017,0.0539372599,0.068421895,0.0785851472,0.0887083867,0.1002320743,0.1095150448,0.1262403969,0.1477672855,0.1868998079
2024-03-31,SSG,0.1292413572,0.1241197183,0.1197583227,0.111315621,0.1076744558,0.0997519206,0.0911491677,0.0835067222,0.0739036492,0.0595790653
2024-03-31,NC,0.1510083227,0.1342429577,0.1194382202,0.110915493,0.1040332907,0.0927096671,0.0879881562,0.0801856594,0.0674215749,0.0520566581
2024-03-31,두산,0.1002320743,0.1012724072,0.1107554417,0.1085147247,0.1067141485,0.103153009,0.0995918694,0.097631242,0.0907090269,0.0814260563
2024-03-31,KIA,0.1681338028,0.1420854673,0.1236795775,0.1131161972,0.1003120999,0.0953104994,0.0818261844,0.0724231754,0.0583386684,0.0447743278
2024-03-31,롯데,0.0467349552,0.0611795775,0.076184379,0.0811059539,0.0917493598,0.1041933419,0.1100752241,0.1273607554,0.1410851472,0.160331306
2024-03-31,삼성,0.0589388604,0.0728233035,0.0840268886,0.0907490397,0.0991117157,0.103153009,0.1154769526,0.1154769526,0.1265204866,0.1337227913
2024-03-31,한화,0.2103473111,0.1602912932,0.1283210627,0.1143966069,0.0937900128,0.0827064661,0.0757442382,0.0565380922,0.0467349552,0.0311299616
2024-03-31,키움,0.0762644046,0.0871478873,0.0955505762,0.0962708067,0.1024727913,0.1081546095,0.1066341229,0.1119558259,0.1089148528,0.1066341229
2024-04-02,LG,0.09375,0.0981113956,0.0985915493,0.1002320743,0.1039132522,0.1067941741,0.1054737516,0.101512484,0.099871959,0.0917493598
2024-04-02,KT,0.0480153649,0.0653809219,0.0754641485,0.0806658131,0.0944702305,0.1010323303,0.1124759923,0.1252800896,0.1355233675,0.1616917414
2024-04-02,SSG,0.1518886044,0.1325224072,0.1210387324,0.1157170294,0.1049535851,0.0903889245,0.0872279129,0.0783850832,0.0661411652,0.0517365557
2024-04-02,NC,0.1710947503,0.1406049936,0.1274007682,0.1103153009,0.1032730474,0.0894286172,0.0809859155,0.0699023688,0.0585787452,0.048415493
2024-04-02,두산,0.0881482074,0.0952704866,0.0983514725,0.1003120999,0.1044734315,0.1044734315,0.1068741997,0.1022727273,0.1013524328,0.0984715109
2024-04-02,KIA,0.1518886044,0.1356033931,0.1232394366,0.1120358515,0.1024327785,0.0919894366,0.0871478873,0.0769046095,0.0671014725,0.0516565301
2024-04-02,롯데,0.0554577465,0.0705425736,0.0787451985,0.0887884123,0.0963108195,0.103753201,0.1130361716,0.1198783611,0.1282010243,0.1452864917
2024-04-02,삼성,0.0512964149,0.0671814981,0.076184379,0.0852672855,0.093549936,0.1058738796,0.1106354033,0.1231193982,0.1371238796,0.1497679257
2024-04-02,한화,0.185259283,0.1532890525,0.1271606914,0.1154369398,0.1007922535,0.0877480794,0.0757042254,0.0651008323,0.0523767606,0.0371318822
2024-04-02,키움,0.0910691421,0.0971911012,0.0984314981,0.1041133163,0.1032330346,0.1004321383,0.1024727913,0.1053137004,0.1017925736,0.0959507042
2024-04-03,LG,0.0915492958,0.1101152369,0.1126760563,0.1158770807,0.1171574904,0.1133162612,0.0851472471,0.0973111396,0.0877080666,0.0691421255
2024-04-03,KT,0.0409731114,0.0614596671,0.0531370038,0.0646606914,0.0928297055,0.1011523688,0.1267605634,0.1318822023,0.1344430218,0.1927016645
2024-04-03,SSG,0.1709346991,0.1504481434,0.1267605634,0.1197183099,0.1062740077,0.0941101152,0.0691421255,0.0678617157,0.0588988476,0.0358514725
2024-04-03,NC,0.1363636364,0.1344430218,0.1158770807,0.119078105,0.0960307298,0.1005121639,0.1005121639,0.076184379,0.0678617157,0.0531370038
2024-04-03,두산,0.0819462228,0.0915492958,0.095390525,0.1005121639,0.090268886,0.0966709347,0.1274007682,0.095390525,0.1145966709,0.1062740077
2024-04-03,KIA,0.1798975672,0.1440460948,0.1133162612,0.1171574904,0.0813060179,0.0973111396,0.0947503201,0.0736235595,0.0595390525,0.0390524968
2024-04-03,롯데,0.0595390525,0.0704225352,0.0870678617,0.0800256082,0.0947503201,0.1037131882,0.1177976953,0.1165172855,0.1280409731,0.1421254802
2024-04-03,삼성,0.0480153649,0.0588988476,0.0787451985,0.1011523688,0.0928297055,0.0973111396,0.0992317542,0.1248399488,0.1370038412,0.161971831
2024-04-03,한화,0.1805377721,0.1555697823,0.1363636364,0.1017925736,0.1139564661,0.0819462228,0.0710627401,0.0710627401,0.0556978233,0.0320102433
2024-04-03,키움,0.0883482714,0.0793854033,0.1030729834,0.1024327785,0.1145966709,0.1037131882,0.1075544174,0.0979513444,0.1005121639,0.1024327785
2024-04-04,LG,0.1133162612,0.1126760563,0.1126760563,0.1203585147,0.109475032,0.1209987196,0.0985915493,0.0819462228,0.0749039693,0.0550576184
2024-04-04,KT,0.0339308579,0.0531370038,0.056978233,0.0723431498,0.0979513444,0.1120358515,0.1133162612,0.128681178,0.1414852753,0.1901408451
2024-04-04,SSG,0.1914212548,0.1485275288,0.1344430218,0.1107554417,0.1011523688,0.0838668374,0.0742637644,0.062099872,0.0595390525,0.0339308579
2024-04-04,NC,0.1075544174,0.1216389245,0.1446862996,0.1203585147,0.1145966709,0.0896286812,0.0966709347,0.0806658131,0.0755441741,0.0486555698
2024-04-04,두산,0.0556978233,0.0793854033,0.0768245839,0.0966709347,0.1030729834,0.1030729834,0.1037131882,0.1395646607,0.1229193342,0.119078105
2024-04-04,KIA,0.1895006402,0.1574903969,0.1312419974,0.1088348271,0.090268886,0.0723431498,0.1011523688,0.0627400768,0.0499359795,0.0364916773
2024-04-04,롯데,0.0384122919,0.0653008963,0.0825864277,0.0889884763,0.0768245839,0.1011523688,0.1241997439,0.1370038412,0.1312419974,0.1542893726
2024-04-04,삼성,0.0409731114,0.0595390525,0.0723431498,0.0755441741,0.0973111396,0.1088348271,0.1152368758,0.1120358515,0.142765685,0.1754161332
2024-04-04,한화,0.2157490397,0.1491677337,0.1376440461,0.109475032,0.0973111396,0.0768245839,0.0749039693,0.0582586428,0.0441741357,0.0364916773
2024-04-04,키움,0.0985915493,0.099871959,0.0979513444,0.0985915493,0.1011523688,0.1158770807,0.1017925736,0.1062740077,0.0934699104,0.0864276569
2024-04-05,LG,0.0889884763,0.099871959,0.1101152369,0.1133162612,0.0979513444,0.1113956466,0.1056338028,0.1017925736,0.0896286812,0.0813060179
2024-04-05,KT,0.0403329065,0.0512163892,0.0588988476,0.0813060179,0.1043533931,0.1062740077,0.1075544174,0.1197183099,0.1542893726,0.176056338
2024-04-05,SSG,0.1606914213,0.142765685,0.1306017926,0.1184379001,0.090268886,0.0985915493,0.0813060179,0.0678617157,0.0685019206,0.0409731114
2024-04-05,NC,0.1453265045,0.142765685,0.1248399488,0.1254801536,0.099871959,0.0877080666,0.0934699104,0.0704225352,0.0601792574,0.0499359795
2024-04-05,두산,0.0710627401,0.0928297055,0.0966709347,0.0909090909,0.1139564661,0.1062740077,0.1126760563,0.1011523688,0.1030729834,0.1113956466
2024-04-05,KIA,0.2080665813,0.1722151088,0.1338028169,0.119078105,0.0909090909,0.0633802817,0.0717029449,0.0595390525,0.0486555698,0.0326504481
2024-04-05,롯데,0.033290653,0.0403329065,0.0563380282,0.0723431498,0.1037131882,0.1197183099,0.1184379001,0.1299615877,0.1562099872,0.1696542894
2024-04-05,삼성,0.0345710627,0.0416133163,0.066581306,0.0800256082,0.0781049936,0.0985915493,0.1165172855,0.1344430218,0.1594110115,0.1901408451
2024-04-05,한화,0.1959026889,0.1542893726,0.1274007682,0.1203585147,0.1043533931,0.0704225352,0.0729833547,0.0755441741,0.052496799,0.0262483995
2024-04-05,키움,0.1152368758,0.1069142125,0.1145966709,0.1222791293,0.1113956466,0.0985915493,0.1088348271,0.0960307298,0.0704225352,0.0556978233
2024-04-06,LG,0.1126760563,0.1075544174,0.1203585147,0.1069142125,0.1062740077,0.1165172855,0.0985915493,0.0793854033,0.0870678617,0.0646606914
2024-04-06,KT,0.0326504481,0.0486555698,0.0646606914,0.062099872,0.0806658131,0.1037131882,0.1171574904,0.1466069142,0.1510883483,0.1927016645
2024-04-06,SSG,0.1434058899,0.1440460948,0.119078105,0.1235595391,0.1062740077,0.090268886,0.1024327785,0.0742637644,0.0556978233,0.0409731114
2024-04-06,NC,0.1613316261,0.1145966709,0.1203585147,0.1261203585,0.1056338028,0.099871959,0.0883482714,0.0819462228,0.0678617157,0.0339308579
2024-04-06,두산,0.0550576184,0.0838668374,0.0889884763,0.0992317542,0.1011523688,0.1133162612,0.1107554417,0.1216389245,0.1037131882,0.1222791293
2024-04-06,KIA,0.1907810499,0.1536491677,0.1338028169,0.1120358515,0.0985915493,0.0717029449,0.0806658131,0.0723431498,0.0518565941,0.0345710627
2024-04-06,롯데,0.0480153649,0.062099872,0.066581306,0.0921895006,0.0934699104,0.0973111396,0.1216389245,0.1101152369,0.1459667093,0.1626120359
2024-04-06,삼성,0.0435339309,0.0582586428,0.0729833547,0.0787451985,0.095390525,0.0941101152,0.1113956466,0.1229193342,0.1568501921,0.1658130602
2024-04-06,한화,0.1747759283,0.1338028169,0.1235595391,0.1107554417,0.1152368758,0.0870678617,0.0749039693,0.0633802817,0.0640204866,0.052496799
2024-04-06,키움,0.1274007682,0.1293213828,0.1235595391,0.1133162612,0.0973111396,0.1043533931,0.0813060179,0.0877080666,0.0723431498,0.0633802817
2024-04-07,LG,0.1081946223,0.1241997439,0.1113956466,0.1293213828,0.1107554417,0.0960307298,0.1062740077,0.0851472471,0.0710627401,0.0576184379
2024-04-07,KT,0.028809219,0.0416133163,0.0556978233,0.0704225352,0.0736235595,0.0985915493,0.1056338028,0.1350832266,0.1696542894,0.2208706786
2024-04-07,SSG,0.1280409731,0.128681178,0.1133162612,0.1017925736,0.1043533931,0.1088348271,0.1011523688,0.0889884763,0.0717029449,0.0531370038
2024-04-07,NC,0.1991037132,0.1485275288,0.1325224072,0.1184379001,0.0921895006,0.0883482714,0.0749039693,0.0576184379,0.0531370038,0.0352112676
2024-04-07,두산,0.0576184379,0.0729833547,0.076184379,0.0845070423,0.1017925736,0.119078105,0.1145966709,0.1158770807,0.1350832266,0.1222791293
2024-04-07,KIA,0.1786171575,0.1408450704,0.1395646607,0.1222791293,0.0966709347,0.0877080666,0.0678617157,0.0749039693,0.0531370038,0.0384122919
2024-04-07,롯데,0.0454545455,0.0729833547,0.0729833547,0.0889884763,0.0941101152,0.1005121639,0.1081946223,0.1171574904,0.1363636364,0.1632522407
2024-04-07,삼성,0.0486555698,0.0653008963,0.0691421255,0.0845070423,0.0896286812,0.1107554417,0.1222791293,0.1402048656,0.1325224072,0.1370038412
2024-04-07,한화,0.142765685,0.1299615877,0.1248399488,0.1177976953,0.1145966709,0.0960307298,0.0845070423,0.0793854033,0.062099872,0.0480153649
2024-04-07,키움,0.1466069142,0.1274007682,0.1267605634,0.1126760563,0.0979513444,0.1062740077,0.0774647887,0.0896286812,0.0717029449,0.0435339309
2024-04-09,LG,0.1254801536,0.0985915493,0.1171574904,0.1107554417,0.0985915493,0.1005121639,0.099871959,0.1005121639,0.0819462228,0.066581306
2024-04-09,KT,0.0352112676,0.0384122919,0.0627400768,0.0768245839,0.0838668374,0.1056338028,0.0934699104,0.1306017926,0.1805377721,0.1927016645
2024-04-09,SSG,0.1504481434,0.1376440461,0.1133162612,0.1088348271,0.1069142125,0.0928297055,0.090268886,0.0787451985,0.0710627401,0.0499359795
2024-04-09,NC,0.1453265045,0.1530089629,0.1306017926,0.1107554417,0.1203585147,0.0960307298,0.0755441741,0.0710627401,0.052496799,0.0448143406
2024-04-09,두산,0.0653008963,0.0736235595,0.0838668374,0.0941101152,0.0947503201,0.0960307298,0.1152368758,0.133162612,0.1177976953,0.1261203585
2024-04-09,KIA,0.1875800256,0.1613316261,0.1165172855,0.1203585147,0.104993598,0.090268886,0.0755441741,0.0601792574,0.0473751601,0.0358514725
2024-04-09,롯데,0.042893726,0.0710627401,0.0710627401,0.0825864277,0.1024327785,0.0870678617,0.1113956466,0.1248399488,0.1446862996,0.161971831
2024-04-09,삼성,0.0556978233,0.0697823303,0.0889884763,0.0947503201,0.0992317542,0.1126760563,0.1158770807,0.1088348271,0.1184379001,0.1357234315
2024-04-09,한화,0.1350832266,0.1216389245,0.1171574904,0.1037131882,0.1216389245,0.0973111396,0.095390525,0.0825864277,0.0653008963,0.0601792574
2024-04-09,키움,0.1389244558,0.1229193342,0.119078105,0.1158770807,0.0966709347,0.0915492958,0.1011523688,0.0889884763,0.066581306,0.0582586428
2024-04-10,LG,0.1088348271,0.0985915493,0.1133162612,0.1126760563,0.1113956466,0.1139564661,0.0941101152,0.0934699104,0.0947503201,0.0588988476
