,,1,2,3,4,5,6,7,8,9,10
2024-03-27,롯데,0.0019206146,0.0076824584,0.0160051216,0.0320102433,0.066581306,0.1389244558,0.3220230474,0.2317541613,0.1280409731,0.0550576184
2024-03-27,삼성,0.0,0.0006402049,0.0006402049,0.0134443022,0.0211267606,0.0499359795,0.1632522407,0.2957746479,0.2663252241,0.1888604353
2024-03-27,한화,0.0,0.0,0.0038412292,0.0070422535,0.0153649168,0.0518565941,0.1658130602,0.23815621,0.3021766965,0.2157490397
2024-03-27,키움,0.0,0.0006402049,0.0012804097,0.0012804097,0.0076824584,0.0172855314,0.0723431498,0.1363636364,0.2624839949,0.5006402049
2024-03-28,LG,0.7362355954,0.1626120359,0.062099872,0.02368758,0.0128040973,0.0019206146,0.0,0.0006402049,0.0,0.0
2024-03-28,KT,0.0909090909,0.2772087068,0.2170294494,0.1798975672,0.1184379001,0.0838668374,0.0268886044,0.0044814341,0.0012804097,0.0
2024-03-28,SSG,0.0563380282,0.1818181818,0.2087067862,0.1792573624,0.1677336748,0.1357234315,0.0537772087,0.0121638924,0.0044814341,0.0
2024-03-28,NC,0.0544174136,0.1786171575,0.2010243278,0.1837387964,0.181177977,0.1312419974,0.0505761844,0.0160051216,0.0032010243,0.0
2024-03-28,두산,0.0339308579,0.1325224072,0.1869398207,0.1869398207,0.1895006402,0.1754161332,0.0646606914,0.02368758,0.0051216389,0.0012804097
2024-03-28,KIA,0.0390524968,0.1261203585,0.152368758,0.1862996159,0.1888604353,0.1850192061,0.0781049936,0.0352112676,0.0064020487,0.0025608195
2024-03-28,롯데,0.0006402049,0.0083226633,0.0179257362,0.0435339309,0.0697823303,0.133162612,0.3175416133,0.2253521127,0.1293213828,0.0544174136
2024-03-28,삼성,0.0,0.0,0.0012804097,0.0057618438,0.0204865557,0.0454545455,0.1626120359,0.2483994878,0.3002560819,0.2157490397
2024-03-28,한화,0.0,0.0012804097,0.0032010243,0.0070422535,0.0262483995,0.0646606914,0.1645326504,0.2663252241,0.2868117798,0.1798975672
2024-03-28,키움,0.0,0.0,0.0006402049,0.0019206146,0.0032010243,0.0153649168,0.0640204866,0.1485275288,0.252240717,0.514084507
2024-03-29,LG,0.7432778489,0.1568501921,0.0550576184,0.028809219,0.0115236876,0.0032010243,0.0006402049,0.0006402049,0.0,0.0
